team,name,age,senior_career,youth_career,had_youth_career
Belgium,Thibaut Courtois,29,2009–2011,1997–1999,True
Belgium,Simon Mignolet,33,2006–2010,2004–2006,True
Belgium,Matz Sels,29,2010–2014,,False
Belgium,Toby Alderweireld,32,2008–2013,1994–1999,True
Belgium,Dedryck Boyata,30,2009–2015,2003–2006,True
Belgium,Jason Denayer,26,2014–2018,2003–2006,True
Belgium,Thomas Vermaelen,35,2003–2009,1991–1999,True
Belgium,Jan Vertonghen,34,2006–2012,1997–2000,True
Belgium,Timothy Castagne,25,2014–2017,2002–2004,True
Belgium,Thomas Meunier,29,2009–2011,1996–2002,True
Belgium,Leander Dendoncker,26,2013–2019,2001–2003,True
Belgium,Dennis Praet,27,2011–2016,1999–2000,True
Belgium,Youri Tielemans,24,2013–2017,2002–2013,True
Belgium,Hans Vanaken,28,2010–2013,2002–2008,True
Belgium,Axel Witsel,32,2006–2011,1995–1997,True
Belgium,Nacer Chadli,31,2007–2010,1994–1998,True
Belgium,Yannick Carrasco,27,2010–2012,1999–2001,True
Belgium,Thorgan Hazard,28,2011–2012,1998–2003,True
Belgium,Michy Batshuayi,27,2011–2014,2003–2005,True
Belgium,Christian Benteke,30,2007–2009,1996–2004,True
Belgium,Jérémy Doku,19,2018–2020,nan,True
Belgium,Eden Hazard,30,2007–2008,1995–2003,True
Belgium,Romelu Lukaku,28,2009–2011,1999–2003,True
Belgium,Dries Mertens,34,2005–2007,1996–1998,True
Belgium,Leandro Trossard,26,2012–2019,,False
